característica,atributo,puntaje
PAY_0,-1,8.597980532861289
PAY_0,-2,11.359167716905048
PAY_0,0,10.946025148880146
PAY_0,1,-2.8659145695472388
PAY_0,2,-21.02988680752516
PAY_2,-1,5.500667822903361
PAY_2,-2,5.014170890928953
PAY_2,0,5.312511243737316
PAY_2,2,0.5242170824309569
PAY_3,-1,6.865074788756154
PAY_3,-2,5.501795076613577
PAY_3,0,5.829057739254264
PAY_3,2,-3.14651718460596
PAY_4,-1,5.336085204798
PAY_4,-2,4.806298529283596
PAY_4,0,4.894143110845561
PAY_4,2,1.3422979836804139
PAY_5,-1,5.999543550439269
PAY_5,-2,4.902967897898162
PAY_5,0,5.0670631863656315
PAY_5,2,-1.196608534000796
PAY_6,-1,5.758477755862145
PAY_6,-2,4.961546338557849
PAY_6,0,5.16622552367554
PAY_6,2,-1.2199731495570267
PAY_AMT1,(0.0|316.0],0.5665408949043247
PAY_AMT1,(1724.0|3000.0],4.606013497095274
PAY_AMT1,(3000.0|6192.200000000001],5.941113494639307
PAY_AMT1,(316.0|1724.0],4.296329293995832
PAY_AMT1,(6192.200000000001|873552.0],8.132107362736523
LIMIT_BAL,(10000.0|50000.0],-0.2828702596412258
LIMIT_BAL,(100000.0|180000.0],4.76939228967182
LIMIT_BAL,(180000.0|270000.0],6.66489009389092
LIMIT_BAL,(270000.0|1000000.0],8.336378710019495
LIMIT_BAL,(50000.0|100000.0],3.1220590445104106
PAY_AMT2,(0.0|268.8000000000002],2.137217975129614
PAY_AMT2,(1600.0|3000.0],4.647595005021591
PAY_AMT2,(268.8000000000002|1600.0],4.100712126214088
PAY_AMT2,(3000.0|6000.0],5.069296386728834
PAY_AMT2,(6000.0|1684259.0],7.166415622213592
PAY_AMT3,(0.0|2.800000000000182],0.8954524934623209
PAY_AMT3,(1206.0|2500.0],4.431984654581149
PAY_AMT3,(2.800000000000182|1206.0],4.276751649491421
PAY_AMT3,(2500.0|5284.000000000004],5.971936355944579
PAY_AMT3,(5284.000000000004|896040.0],7.877465254978304
PAY_AMT4,(0.0|1000.0],3.365355248786006
PAY_AMT4,(1000.0|2100.0],4.276359562496874
PAY_AMT4,(2100.0|5000.0],5.225171293239851
PAY_AMT4,(5000.0|621000.0],6.4299247072839405
PAY_AMT6,(0.0|1000.0],3.800074252159845
PAY_AMT6,(1000.0|2100.0],4.473539861810359
PAY_AMT6,(2100.0|5000.0],4.837536634760737
PAY_AMT6,(5000.0|528666.0],5.634450539399508
PAY_AMT5,(0.0|1000.0],4.2710128787440045
PAY_AMT5,(1000.0|2123.399999999998],4.4480917664186554
PAY_AMT5,(2123.399999999998|5000.0],4.582862572116375
PAY_AMT5,(5000.0|426529.0],4.819166038865193
AGE,(21.0|27.0],3.2408155646413928
AGE,(27.0|31.0],5.322167804025165
AGE,(31.0|37.0],5.669081587281418
AGE,(37.0|43.0],4.677695163974385
AGE,(43.0|79.0],3.4336699782027864
EDUCATION,1,4.741932732483371
EDUCATION,2,4.385857243925762
EDUCATION,3,4.181893990615638
BILL_AMT4,(-170000.0|988.0],5.4723559305319815
BILL_AMT4,(11145.0|28604.399999999998],5.504786114377133
BILL_AMT4,(28604.399999999998|70579.0],4.860840067545015
BILL_AMT4,(70579.0|891586.0],3.2713106331484543
BILL_AMT4,(988.0|11145.0],3.1137450566092846
BILL_AMT6,(-339603.0|476.0],5.115670817607945
BILL_AMT6,(25508.399999999987|63150.600000000006],5.048676432298955
BILL_AMT6,(476.0|8770.2],3.035176286747296
BILL_AMT6,(63150.600000000006|961664.0],3.6621289317457455
BILL_AMT6,(8770.2|25508.399999999987],5.377559059491456
